Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000190,Barnet 014E,15,Economically inactive: Retired,260
E01000190,Barnet 014E,16,Economically inactive: Student,101
E01000190,Barnet 014E,17,Economically inactive: Looking after home or family,66
E01000190,Barnet 014E,18,Economically inactive: Long-term sick or disabled,30
E01000190,Barnet 014E,19,Economically inactive: Other,38
E01000191,Barnet 014F,-8,Does not apply,353
E01000191,Barnet 014F,1,Economically active (excluding full-time students): In employment: Employee: Part-time,167
E01000191,Barnet 014F,2,Economically active (excluding full-time students): In employment: Employee: Full-time,295
E01000191,Barnet 014F,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000191,Barnet 014F,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,32
E01000191,Barnet 014F,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,72
E01000191,Barnet 014F,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,72
E01000191,Barnet 014F,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,32
E01000191,Barnet 014F,8,Economically active and a full-time student: In employment: Employee: Part-time,10
E01000191,Barnet 014F,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000191,Barnet 014F,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000191,Barnet 014F,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000191,Barnet 014F,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,7
E01000191,Barnet 014F,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000191,Barnet 014F,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000191,Barnet 014F,15,Economically inactive: Retired,280
E01000191,Barnet 014F,16,Economically inactive: Student,83
E01000191,Barnet 014F,17,Economically inactive: Looking after home or family,62
E01000191,Barnet 014F,18,Economically inactive: Long-term sick or disabled,32
E01000191,Barnet 014F,19,Economically inactive: Other,33
E01000192,Barnet 018A,-8,Does not apply,450
E01000192,Barnet 018A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,242
E01000192,Barnet 018A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,386
E01000192,Barnet 018A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,17
E01000192,Barnet 018A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,44
E01000192,Barnet 018A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,100
E01000192,Barnet 018A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,136
E01000192,Barnet 018A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,44
E01000192,Barnet 018A,8,Economically active and a full-time student: In employment: Employee: Part-time,14
E01000192,Barnet 018A,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000192,Barnet 018A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000192,Barnet 018A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000192,Barnet 018A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,5
E01000192,Barnet 018A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000192,Barnet 018A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E01000192,Barnet 018A,15,Economically inactive: Retired,280
E01000192,Barnet 018A,16,Economically inactive: Student,89
E01000192,Barnet 018A,17,Economically inactive: Looking after home or family,80
E01000192,Barnet 018A,18,Economically inactive: Long-term sick or disabled,44
E01000192,Barnet 018A,19,Economically inactive: Other,59
E01000193,Barnet 018B,-8,Does not apply,360
E01000193,Barnet 018B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,214
E01000193,Barnet 018B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,404
E01000193,Barnet 018B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,12
E01000193,Barnet 018B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,37
E01000193,Barnet 018B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,109
E01000193,Barnet 018B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,141
E01000193,Barnet 018B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,71
E01000193,Barnet 018B,8,Economically active and a full-time student: In employment: Employee: Part-time,31
E01000193,Barnet 018B,9,Economically active and a full-time student: In employment: Employee: Full-time,6
E01000193,Barnet 018B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000193,Barnet 018B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000193,Barnet 018B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000193,Barnet 018B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000193,Barnet 018B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01000193,Barnet 018B,15,Economically inactive: Retired,229
E01000193,Barnet 018B,16,Economically inactive: Student,105
E01000193,Barnet 018B,17,Economically inactive: Looking after home or family,98
E01000193,Barnet 018B,18,Economically inactive: Long-term sick or disabled,48
E01000193,Barnet 018B,19,Economically inactive: Other,72
E01000194,Barnet 018C,-8,Does not apply,455
E01000194,Barnet 018C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,183
E01000194,Barnet 018C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,408
E01000194,Barnet 018C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000194,Barnet 018C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01000194,Barnet 018C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,82
E01000194,Barnet 018C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,115
E01000194,Barnet 018C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,62
